review_id,review_text,sentiment_label,sentiment_score,identified_theme(s),date,bank
317,"Despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.",neutral,0.0,Uncategorized Feedback,2024-08-12,Bank of Abyssinia
318,Thank you,neutral,0.0,Uncategorized Feedback,2024-08-12,Bank of Abyssinia
319,Very poor app b/c highly slow to open the app,negative,-0.2733333333333334,Poor Customer Service,2024-08-12,Bank of Abyssinia
320,Ok,positive,0.5,Uncategorized Feedback,2024-08-12,Bank of Abyssinia
321,best,positive,1.0,Uncategorized Feedback,2024-08-12,Bank of Abyssinia
322,Best app,positive,1.0,Uncategorized Feedback,2024-08-11,Bank of Abyssinia
323,Wedi Tekle .,neutral,0.0,Uncategorized Feedback,2024-08-11,Bank of Abyssinia
324,Bad app📱👎👎👎,negative,-0.6999999999999998,Uncategorized Feedback,2024-08-11,Bank of Abyssinia
325,Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,neutral,0.0,Uncategorized Feedback,2024-08-11,Bank of Abyssinia
326,Nice appp,positive,0.6,Uncategorized Feedback,2024-08-11,Bank of Abyssinia
327,ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,neutral,0.0,Uncategorized Feedback,2024-08-10,Bank of Abyssinia
328,Gooood app my dear,neutral,0.0,Uncategorized Feedback,2024-08-10,Bank of Abyssinia
329,Harun tamam galanaa,neutral,0.0,Uncategorized Feedback,2024-08-09,Bank of Abyssinia
330,"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",neutral,0.0,Neutral/Functional Feedback,2024-08-08,Bank of Abyssinia
331,Gamebela,neutral,0.0,Uncategorized Feedback,2024-08-08,Bank of Abyssinia
332,so poor app to use can't start up when open the app,negative,-0.2,Uncategorized Feedback,2024-08-08,Bank of Abyssinia
333,"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",negative,-0.10625,App Performance & Stability Issues,2024-08-07,Bank of Abyssinia
334,Good job,positive,0.7,Uncategorized Feedback,2024-08-07,Bank of Abyssinia
335,"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",neutral,-0.0041666666666666,Excellent Customer Service; General Negative Feedback; Positive User Experience & Features,2024-08-07,Bank of Abyssinia
336,good,positive,0.7,Uncategorized Feedback,2024-08-07,Bank of Abyssinia
337,Good,positive,0.7,Uncategorized Feedback,2024-08-07,Bank of Abyssinia
338,Bad app .,negative,-0.6999999999999998,Uncategorized Feedback,2024-08-06,Bank of Abyssinia
339,"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",neutral,-0.015625,Uncategorized Feedback,2024-08-06,Bank of Abyssinia
340,Review,neutral,0.0,Uncategorized Feedback,2024-08-06,Bank of Abyssinia
341,Goood,neutral,0.0,Uncategorized Feedback,2024-08-06,Bank of Abyssinia
342,Ok,positive,0.5,Uncategorized Feedback,2024-08-06,Bank of Abyssinia
343,👎👎👎👎👎👎👎👎👎,neutral,0.0,Uncategorized Feedback,2024-08-06,Bank of Abyssinia
344,Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,neutral,0.0,Uncategorized Feedback,2024-08-04,Bank of Abyssinia
345,The previous version is better it doesn't work,positive,0.1666666666666666,Uncategorized Feedback,2024-08-04,Bank of Abyssinia
346,"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",negative,-0.2044444444444444,General Negative Feedback; Poor Customer Service,2024-08-03,Bank of Abyssinia
347,ok,positive,0.5,Uncategorized Feedback,2024-08-03,Bank of Abyssinia
348,Nice,positive,0.6,Uncategorized Feedback,2024-08-03,Bank of Abyssinia
349,"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",positive,0.5,Uncategorized Feedback,2024-08-03,Bank of Abyssinia
350,Great,positive,0.8,Positive User Experience & Features,2024-08-03,Bank of Abyssinia
351,It's a useless app,negative,-0.5,Uncategorized Feedback,2024-08-02,Bank of Abyssinia
352,"It's not working as it was , so much need to improve, it was the best but not anymore",positive,0.6,App Performance & Stability Issues,2024-08-01,Bank of Abyssinia
353,Poor network,negative,-0.4,Uncategorized Feedback,2024-08-01,Bank of Abyssinia
354,Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,negative,-0.2921875,Uncategorized Feedback,2024-07-31,Bank of Abyssinia
355,The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,neutral,-0.1,Positive User Experience & Features,2024-07-31,Bank of Abyssinia
356,"It's not working totally, what a useless app is it,",negative,-0.25,App Performance & Stability Issues,2024-07-31,Bank of Abyssinia
357,"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",neutral,0.0666666666666666,Uncategorized Feedback,2024-07-31,Bank of Abyssinia
358,this is so disappointing app 😞,negative,-0.6,General Negative Feedback,2024-07-31,Bank of Abyssinia
359,አቢስኒያ የሁሉም ምርጫ,neutral,0.0,Uncategorized Feedback,2024-07-29,Bank of Abyssinia
360,Ok,positive,0.5,Uncategorized Feedback,2024-07-29,Bank of Abyssinia
361,Nays,neutral,0.0,Uncategorized Feedback,2024-07-28,Bank of Abyssinia
362,The worst app,negative,-1.0,General Negative Feedback,2024-07-28,Bank of Abyssinia
363,it can't even open and only display error messages,neutral,0.0,Uncategorized Feedback,2024-07-27,Bank of Abyssinia
364,not active,neutral,0.0666666666666666,Uncategorized Feedback,2024-07-27,Bank of Abyssinia
365,To get good quality,positive,0.7,Uncategorized Feedback,2024-07-27,Bank of Abyssinia
366,አይሰራም እኮ ምንድን ነው ችግሩ?,neutral,0.0,Uncategorized Feedback,2024-07-26,Bank of Abyssinia
367,uselss app dont download,neutral,0.0,Uncategorized Feedback,2024-07-26,Bank of Abyssinia
368,"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",negative,-0.3333333333333333,App Performance & Stability Issues,2024-07-25,Bank of Abyssinia
369,"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",positive,0.1363636363636363,Uncategorized Feedback,2024-07-25,Bank of Abyssinia
